2017-06-27,25.6,21.3,87,曇,2.4,1008.9
2017-06-28,25,20.2,94,雨後曇一時晴,1.6,1010.6
2017-06-29,29.1,19.9,80,曇,2.6,1011.4
2017-06-30,25.7,22.1,89,雨時々曇,2.9,1008.6
2017-07-01,25.3,22.1,90,雨時々曇,2.1,1006
2017-07-02,32,20.9,84,曇,1.9,1005.8
2017-07-03,32.5,24.5,75,曇,2.5,1003.7
2017-07-04,29.9,23.5,83,曇,2,1002.3
2017-07-05,31.4,21.6,82,曇一時晴,3.1,1003.6
2017-07-06,30.7,23.2,74,曇時々晴,3.1,1008.5
2017-07-07,32.3,23,74,晴,2.6,1008.1
2017-07-08,33.7,22.8,69,晴,2.6,1007.8
2017-07-09,32.5,23,78,晴後一時薄曇,2.9,1007.4
2017-07-10,32.1,23,79,晴,3.7,1007.8
2017-07-11,31.6,24.8,78,晴一時曇,,1009.3
2017-07-12,33.1,25.6,77,晴,4.1,1007.4
2017-07-13,33.4,26,78,晴後時々曇,5,1006.6
2017-07-14,32.4,25.4,74,晴,4.4,1009.1
2017-07-15,33.7,23.6,74,晴後時々薄曇,2.8,1009.5
2017-07-16,34.9,25.1,76,薄曇,2.2,1007.3
2017-07-17,35,25.3,66,薄曇一時雨,,1005.4
2017-07-18,32.7,22.7,84,曇時々晴一時雨、雷を伴う,2.3,1003.8
2017-07-19,31.1,22.9,79,晴時々曇,3.4,1006
2017-07-20,32.3,24.9,76,晴,3.8,1009.2
2017-07-21,33.7,25.8,73,晴,4.5,1010.3
2017-07-22,32.5,25.8,75,薄曇時々晴,4.1,1008.7
2017-07-23,28.5,26.2,79,曇時々雨,4.5,1003.8
2017-07-24,32.9,26.7,73,曇,4.7,999.3
2017-07-25,32.7,27,76,曇、雷を伴う,3.5,999.4
2017-07-26,28.2,23.2,91,大雨一時曇,2.7,1004.3
2017-07-27,26.7,22.5,81,曇,2.4,1008.5
2017-07-28,32.3,22.5,83,曇時々晴,2.2,1006.6
2017-07-29,33.5,23.7,85,曇後一時雨、雷を伴う,2.4,1005.2
2017-07-30,29.2,23.3,86,曇一時雨,2.3,1006.2
2017-07-31,33,23.2,78,晴時々曇,2.4,1005.9
2017-08-01,31,22.7,87,曇時々雨,2.8,1005.6
2017-08-02,25.4,20.9,82,曇時々雨,3,1007.7
2017-08-03,28.9,20.2,76,曇,2.3,1009
2017-08-04,29.2,22,86,曇,2.2,1008.5
2017-08-05,31.9,24.6,85,曇,1.8,1005.1
2017-08-06,33.5,26.3,82,曇後晴,2.7,1002.6
2017-08-07,33.2,25.9,83,曇時々晴,4.3,998.4
2017-08-08,33.9,26.9,80,曇一時雨,4.2,987.9
2017-08-09,37.1,25.9,75,晴時々曇一時雨,2.6,992
2017-08-10,28.4,22.4,85,曇一時雨,2.6,997.9
2017-08-11,24.8,21.7,93,曇時々雨,2.4,1002.5
2017-08-12,29.3,21,89,曇時々雨後一時晴,1.8,1003.9
2017-08-13,31.2,23.1,80,曇一時晴,2.2,1004.9
2017-08-14,25.2,23.4,94,曇時々雨,2.2,1004.6
2017-08-15,26.3,22.4,98,大雨時々曇,2.4,1003
2017-08-16,22.8,21.1,99,雨,2.5,1004.8
2017-08-17,28.2,20.9,89,曇,2.2,1006.9
2017-08-18,30.2,24,87,曇,1.9,1007.3
2017-08-19,30.3,22.4,90,曇一時雨、雷を伴う,2.3,1008.1
2017-08-20,29.3,22.4,86,曇,1.9,1010.4
2017-08-21,31.5,24.1,82,曇一時雨後一時晴,2.4,1011.3
2017-08-22,31.9,24.4,84,曇,2.8,1010.5
2017-08-23,33.7,24.7,72,晴後曇,2,1007.5
2017-08-24,34.8,26.4,69,曇時々晴,2.5,1004.2
2017-08-25,34.9,25.8,73,曇,2.1,1001.1
2017-08-26,33.6,26.1,75,曇後一時雨,2.4,1005
